3201,浜田,HAMADA-TO-NO-URA
3203,温泉津,YUNOTSU
3419,広島,HIROSHIMA
3501,岩国,IWAKUNI
3504,大畠（大畠瀬戸）,OBATAKE
3510,徳山,TOKUYAMA
3512,宇部,UBE
3515,長府,CHOFU
3518,壇之浦（下関）,SHIMONOSEKI-DANNOURA
3525,特牛,KOTTOI
3527,宇津（見島）,UTSU
3529,萩,HAGI
3530,江崎,ESAKI
3815,長浜,NAGAHAMA(IYO NADA)
4001,宇島,UNOSHIMA
4002,苅田,KANDA
4030,門司,MOJI
4012,八幡,YAHATA
4023,三池（島原湾）,MIIKE
4025,柏原,KASHIWABARA
4029,博多東浜,HAKATA-HIGASHIHAMA
4101,唐津,KARATSU
4105,波瀬（伊万里湾）,HASE
4106,竹崎島（島原湾）,TAKEZAKI SHIMA
4107,住ノ江（島原湾）,SUMINOE
4203,郷ノ浦（壱岐島）,GONOURA
4204,勝本（壱岐島）,KATSUMOTO
4205,芦辺（壱岐島）,ASHIBE
4206,厳原（対馬）,IZUHARA
4216,大河内湾（対馬）,OKAWACHI WAN
4222,尾崎浦（対馬浅茅湾）,OZAKI URA
4235,志々伎湾（平戸島）,SHIJIKI WAN
4240,佐世保,SASEBO
4249,小串湾（大村湾）,OGUSHI WAN
4250,大村（大村湾）,OMURA
4254,松島,MATSUSHIMA(KYUSHU)
4259,松ケ枝（長崎）,NAGASAKI-MATSUGAE
4263,樺島水道,KABASHIMA SUIDO
4265,笛吹（五島小値賀島）,FUEFUKI
4268,荒川（五島若松瀬戸）,ARAKAWA(WAKAMATSU)
4270,船廻湾（五島奈留島）,FUNAMAWARI WAN
4272,福江（五島福江島）,FUKUE(KYUSHU)
4275,三井楽（五島福江島）,MIIRAKU
4277,女島（男女群島）,ME SHIMA
4279,口之津,KUCHINOTSU
4285,島原新港（島原湾）,SHIMABARA SHINKO
4301,本渡（島原湾）,HONDO
4303,熊本（島原湾）,KUMAMOTO
4304,三角,MISUMI
4306,柳ノ瀬戸,YANAGI-NO-SETO
4307,八代（八代海）,YATSUSHIRO
4310,水俣（八代海）,MINAMATA
4314,牛深（天草下島）,USHIBUKA
4401,佐賀関,SAGANOSEKI
4402,鶴崎（別府湾大分）,OITA-TSURUSAKI
4414,長島（佐伯）,NAGASHIMA(BUNGO SUIDO)
4417,蒲江,KAMAE
4419,国東,KUNISAKI
4503,油津,ABURATSU
4506,細島,HOSOSHIMA
4509,宮崎,MIYAZAKI(KYUSHU)
4601,阿久根,AKUNE
4602,川内,SENDAI(KYUSHU)
4603,浦内湾,URAUCHI WAN
4604,串木野,KUSHIKINO
4610,鹿児島,KAGOSHIMA
3532,光,HIKARI
4295,宇久島,UKU SHIMA